country,str,LatLong_raw3,Lat,Long,Freq
Florida,"Florida  FL,Floarida,Florid,Florida,Florida Shitati,Florida suyu,Floridae,Floride,Florido,Florinta,Floryda,Fl...28.7505408-82.5000976",28.7505408-82.5000976,28,-82,1059
New South Wales,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,41,-74,495
Queensland,"Queensland  Kvinslend,QLD,Queensland,Shtat Kvinslend,State of Queensland,<U+041A><U+0432><U+0438><U+043D><U+0441><U+043B><U+0435><U+043D><U+0434>,<U+0428><U+0442><U+0430><U+0442> <U+041A><U+0432><U+0438><U+043D><U+0441><U+043B><U+0435><U+043D><U+0434>-20.0145.0","ueensland  Kvinslend,QLD,Queensland,Shtat Kvinslend,State of Queensland,<U+041A><U+0432><U+0438><U+043D><U+0441><U+043B><U+0435><U+043D><U+0434>,<U+0428><U+0442><U+0430><U+0442> <U+041A><U+0432><U+0438><U+043D><U+0441><U+043B><U+0435><U+043D><U+0434>-20.0145.0",-20,145,320
Hawaii,"Hawaii  Aloha State,Awayi,Chabae,Gavai,Gavaj,Gavaji,Gavajlar,Gavajs'ki ostrovi,Gavajzar,Gavayi,Gaway adalary...20.78785-156.38612",20.78785-156.38612,20,-156,307
California,"California  Akeehashiih Hahoodzo,Akééháshi´i´h Hahoodzo,Albion,Alta California,CA,Calafornia,Calafòrnia,Calif,Ca...37.2502247-119.7512643",37.2502247-119.7512643,37,-119,297
KwaZulu-Natal,"KwaZulu-Natal  HaZulu-Natal,Hazolo-Natala,KwaZulu-Natal,KwaZulu-Natala,KwaZulu-Natali,Kwazulu-Natal,Natal,Province ...-29.030.0",-29.030.0,-29,30,215
Western Cape Province,"Western Asia  Asia Occidental,Asia occidentale,Asie de l'Ouest,Sudoeste Asiatico,Sudoeste Asiático,Vorderasien,Wes...25.83944940206318543.2421875",25.83944940206318543.24,-34,20,195
Western Australia,"Western Asia  Asia Occidental,Asia occidentale,Asie de l'Ouest,Sudoeste Asiatico,Sudoeste Asiático,Vorderasien,Wes...25.83944940206318543.2421875",25.83944940206318543.24,-25,122,193
Eastern Cape Province,"Eastern Asia  Asia Oriental,Asia orientale,Asie de l'Est,Eastern Asia,Ostasien,Rytu Azija,Rytu Azija,Skhidna Azija...32.24997445586331114.609375",32.24997445586331114.60,-32,26,161
South Carolina,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",33,-90,161
North Carolina,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",35,-90,107
South Australia,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",-30,135,104
Victoria,"Victoria  Shtat Viktorija,State of Victoria,VIC,Victoria,Viktorija,Vitoria,Vitória,<U+0412><U+0438><U+043A><U+0442><U+043E><U+0440><U+0438><U+044F>,<U+0428><U+0442><U+0430><U+0442> <U+0412><U+0438><U+043A><U+0442><U+043E><U+0440><U+0438><U+044F>-37.0145.0","ictoria  Shtat Viktorija,State of Victoria,VIC,Victoria,Viktorija,Vitoria,Vitória,<U+0412><U+0438><U+043A><U+0442><U+043E><U+0440><U+0438><U+044F>,<U+0428><U+0442><U+0430><U+0442> <U+0412><U+0438><U+043A><U+0442><U+043E><U+0440><U+0438><U+044F>-37.0145.0",-37,145,90
Texas,"Texas  Akalii Bikeyah,Akalii Bikéyah,Estado de Texas,Estado de la Estrella Solitaria,Kekeka,Lone Star State...31.2504424-99.2506061",31.2504424-99.2506061,31,-99,76
Pernambuco,"Pernambuco  Estado de Pernambuco,PE,Pernamboch,Pernambouc,Pernambucensis,Pernambuco,Pernambuco osariik,Pernambuc...-8.333333-37.75",-46.083333,-8,-37,74
North Island,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",-35,174,70
Torres Strait,Torres  -10.57928442333755142.2205924987793,orres  -10.57928442333755142.2205924987793,-9,142,70
New Jersey,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,40,-74,54
Tasmania,"Tasmania  Shtat Tasmanija,State of Tasmania,TAS,Tasmania,Tasmanie,Tasmanien,Tasmanija,Tasmânia,Van Diemen's La...-42.0147.0",-42.0147.0,-42,147,42
South Island,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",-45,168,41
New York,"New York  Aebura,Bandar Raya New York,Big Apple,Cathair Nua-Eabhrac,City of New York,Eabhraig Nuadh,Efrog Newy...40.7142691-74.0059729",40.7142691-74.0059729,41,-74,32
Oregon,"Oregon  'Olekona,Beaver State,New Albion,O-let-kong,O-le<U+030D>t-kông,OR,Oogin Hahoodzo,Oregao,Oregon,Oregon Shita...44.0001313-120.5013876",44.0001313-120.5013876,44,-120,30
Abaco Islands,"Central Abaco District  Central Abaco,Central Abaco District26.43917-77.12972","entral Abaco District  Central Abaco,Central Abaco District26.43917-77.12972",26,-77,28
Northern Territory,"Northern Africa  Africa del Norte,Afrique du Nord,Noord-Afrika,Nordafrica,Nordafrika,Norte de Africa,Norte de África,...32.953368145799329.9755859375",32.953368145799329.9,-20,134,23
Central Province,"Central Africa  Africa Central,Africa centrale,Afrique centrale,Central Africa,Central'na Afrika,Central'naja Afrika...-2.0210651187669924.697265625",-2.0210651187669924.6,-10,148,22
Havana Province,"Havana  A Habana,Abana,Gavana,Gavanae,Gavane,Gorad Gavana,HAV,Habana,Hafana,Hahvaxnaz,Havan,Havana,Havanna,H...23.133019745980196-82.38304138183594",23.133019745980196-82.3830413,23,-82,19
Virginia,"Virginia  Bhirginia,Bijiniyah Hahoodzo,Bijíniyah Hahoodzo,Commonwealth of Virginia,Firginia,Old Dominion,Sadru...37.5481160131894-77.4467468261719",37.5481160131894-77.4467468,37,-77,19
Massachusetts,"Massachusetts  Bay State,Commonwealth of Massachusetts,MA,Ma-sat-chu-set,Makakukeka,Masachoset,Masachosèt,Masachous...42.3656470028119-71.1083221435547",42.3656470028119-71.10,42,-71,18
South Province,"South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","outh  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921",-21,165,17
Gaza,Gaza  31.5106534.46411,aza  31.5106534.46411,-23,33,16
