"","country","str","LatLong_raw","Freq"
"1"," PHILIPPINES","Sarou7.91.1666667","",1
"2"," TONGA","Sarou7.91.1666667","",3
"3","ADMIRALTY ISLANDS","Admiralty Peak  Admiralty Peak-54.2197222-36.8330556","",1
"4","AFRICA","África18.559593953133042-69.40351957690885","",1
"5","ALGERIA","Algeria  'Aisilia,'Alekelia,Aildiria,Al Jaza'ir,Al Jaza’ir,Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash S...28.03.0",".03.0",1
"6","AMERICAN SAMOA","South  Dixie,Dixieland,Southern United States33.458762686596614-90.1508149085921","",3
"7","ANDAMAN / NICOBAR ISLANDAS","Port Blair  Gorad Port-Blehr,IXZ,Port Blair,Port Bler,Port Bleras,Port-Blehr,Port-Bler,Portus Blairensis,bu lai ...11.6661392.74635",".11.6661392.74635",1
"8","ANDAMAN ISLANDS","Port Blair  Gorad Port-Blehr,IXZ,Port Blair,Port Bler,Port Bleras,Port-Blehr,Port-Bler,Portus Blairensis,bu lai ...11.6661392.74635",".11.6661392.74635",1
"9","ANGOLA","Angola  'Enikola,Africa Ocidental Portuguesa,An'nkola,Ang-go-la,Ang-go-la (Angola),Angola,Angola nutome,Ango...-12.518.5",".518.5",1
"10","ANTIGUA","Antigua  28.3543557466028-13.9172393443046","",2
"11","ARGENTINA","Argentina  'Asenitina,A Can GJinh (Argentina),Ac-hen-ti-na,Agy<U+025B>ntina,Ajantin,Ajentina,Alijantine,An Airgintin,A...-34.0-64.0","-34.0-64.0",1
"12","ARUBA","Aruba  'Alupa,Aroba,Arobà,Aroumpa,Aruba,Aruba nutome,Arubae,Arubha,Arubo,Aruuba,Arúba,Arûba,Orileede Aruba,...12.5-69.9666667","-69.9666667",1
"13","ASIA?","","",1
"14","ATLANTIC OCEAN","South Atlantic Ocean  Atlantic Ocean,Oceano Atlantico Sur,Océano Atlántico Sur-45.0-15.0","",17
"15","AUSTRALIA","Australia  'Aositelelia,Ahitereiria,An Astrail,An Astráil,Aostralia,Astralia,Austraalia,Austrailae,Australi,Aus...-25.0135.0","-25.0135.0",1364
"16","AZORES","Azores  Acorerne,Acores,Asorane,Asorene,Autonomous Region of the Azores,Azoren,Azorene,Azorerna,Azorerne,Azo...37.808467864990234-25.4746615615758","808467864990234-25.4746615615758",5
"17","BAHAMAS","Bahamas  Ba-ha-ma,Ba-ha-ma (Bahamas),Bagama Adalary,Bagami,Bagams'ki Ostrovi,Bagamskia astravy,Bagamskie ostr...25.04081549894912-77.3712158203125",".04081549894912-77.3712158203125",120
"18","BAHREIN","Bahrain  Al Bahrayn,Al Ba<U+1E29>rayn,BAH,Ba-ren,Baareeni,Bachrain,Bachrein,Baharan,Bahareni,Bahareyini,Baharina,Bah...26.03333350.55",".03333350.55",1
"19","BANGLADESH","Bangladesh  An Bhanglaideis,An Bhanglaidéis,Baangilaadish,Baengladesc,Banagaladesa,Bang-la-get,Bang-la-get (Bang...24.090.0",".24.090.0",1
"20","BARBADOS","Barbados  Baabados,Baarbadoos,Babadosi,Bac-ba-got,Barabada,Barabadosi,Barabâda,Barbada,Barbadas,Barbade,Barbad...13.16453-59.55165","3.16453-59.55165",6
"21","BAY OF BENGAL","Montego Bay  Bahia Montego,Bahía Montego,MBJ,Mantica Bahia,Montego,Montego Bay,Montego Bejus,Montego Bejus,Monteg...18.47116-77.91883","..18.47116-77.91883",1
"22","BELIZE","Belize  An Bheilis,An Bheilís,Balize,Be-li-xe,Beilise,Beles,Belezos,Belice,Belice - Belize,Belici,Beliis,Bel...17.25-88.75","25-88.75",3
"23","BERMUDA","Bermuda  BDA,Barmuda,Beirmiuda,Beirmiúda,Bemuda,Beremuda,Beremûda,Berimuda,Bermid,Bermioda,Bermoudes,Bermud a...32.33022-64.74003",".33022-64.74003",16
"24","Between PORTUGAL & INDIA","Lac In Between47.27450708393-74.913497515954","",1
"25","BRAZIL","Brazil  An Bhrasail,An Bhrasaíl,Ba Tay (Bra-xin),Ba Tây (Bra-xin),Baraasiil,Beresiil,Berezili,Birazil,Bra-xi...-10.0-55.0",".0-55.0",114
"26","BRITISH ISLES","British West Indies  BWI,British West Indies18.0-68.0","",1
"27","BRITISH NEW GUINEA","British West Indies  BWI,British West Indies18.0-68.0","",1
"28","BRITISH VIRGIN ISLANDS","British West Indies  BWI,British West Indies18.0-68.0","",1
"29","BRITISH WEST INDIES","British West Indies  BWI,British West Indies18.0-68.0","",1
"30","BURMA","Myanmar  Barmanie,Bimani,Birimaniya,Birma,Birma (Myanmar),Birmania,Birmania (Myanmar),Birmania/Myanmar,Birman...21.096.0",".096.0",4
"31","CANADA","Canada  Ca-na-da,Ca-na-da,Canada,Canada (Gia Na GJai),Canada (Gia Nã Ð<U+1EA1>i),Canadà,Canadá,Ceanada,Kanada,Kanad...60.10867046303597-113.642578125","10867046303597-113.642578125",12
"32","CAPE VERDE","Cape Town  Altepetl In Cabo,Ar Chab,CPT,Cape Toun,Cape Town,Cidade do Cabo,Cita del Cap,Citati du Capu,Citati d...-33.92583918.423218","-33.92583918.423218",3
"33","CARIBBEAN SEA","Caribbean  Caraibe,Caraibi,Caraïbe,Caribbean,Caribe,Karibi,Karibik,Kariby,alkaryby,karibu de fang,<U+041A><U+0430><U+0440><U+0438><U+0431><U+0438>,<U+041A><U+0430><U+0440><U+0438><U+0431><U+044B>...20.385825381874263-72.333984375","20.385825381874263-72.333984375",8
"34","CAYMAN ISLANDS","Cayman Islands  'Otumotu Keimeni,Awon Erekusu Kaiman,Azua Ngunde  Kaimaeni,Bama Gun,Bisanga bya Kayima,Bisanga bya K...19.5-80.6666667"," K...19.5-80.6666667",2
"35","CENTRAL PACIFIC","Central Africa  Africa Central,Africa centrale,Afrique centrale,Central Africa,Central'na Afrika,Central'naja Afrika...-2.0210651187669924.697265625","ka...-2.0210651187669924.697265625",2
"36","CEYLON","Sri Lanka  Ceilan,Ceilán,Cejlono,Ceylon,Democratic Socialist Republic of Sri Lanka,Dominion of Ceylon,Ilankaic ...7.7580.75","7.7580.75",3
"37","CEYLON (SRI LANKA)","Sri Lanka  Ceylan,Ceylon,Lanka,Sri Lanka,Taprobane7.6063280.71648","",1
"38","CHILE","Chile  An t-Sile,An tSile,Cayile,Chi-le,Chi-le (Chile),Chi-lê,Chi-lê (Chile),Chiilii,Chile,Chili,Chilia,Chi...-30.0-71.0","0-71.0",8
"39","CHINA","China  Althydulydveldid Kina,Alþýðulýðveldið Kína,An tSin,An tSín,Caina,Caina  Sin,Cayina,Chaina,China,Chin...35.0105.0","105.0",9
"40","Coast of AFRICA","Gold Coast  City of Gold Coast,Costa Dorada,Gold,Gold Coast,Gold Koust,OOL,gorudokosuto,huang jin hai an,<U+0413><U+043E><U+043B><U+0434> <U+041A><U+043E>...-28.00029153.430878",".-28.00029153.430878",1
"41","COLOMBIA","Colombia  An Choloim,An Cholóim,Co-lom-bi-a,Co-lom-bi-a (Colombia),Coloimbia,Colombia,Colombie,Colombié,Columb...4.0-73.25",".0-73.25",1
"42","COLUMBIA","Colombia  An Choloim,An Cholóim,Co-lom-bi-a,Co-lom-bi-a (Colombia),Coloimbia,Colombia,Colombie,Colombié,Columb...4.0-73.25",".0-73.25",9
"43","COMOROS","Comoros  Al Qumur,Bizinga by'eKomoro,Co-mo,Co-mo (Comoros),Comor-szigetek,Comoras,Comore,Comore-eilande,Comor...-12.23332589158509344.445533752441406","2.23332589158509344.445533752441406",1
"44","COOK ISLANDS","ChicagoCHI,Cekaga,Chi-ka-ko,Chi-kâ-kô,Chicago,Chicagu,Chikago,Cikaga,Cikago,Cikaqo,E-Chicago,Gorad Chykaga,...41.850033-87.6500523","50033-87.6500523",1
"45","COSTA RICA","Ivory Coast  Aibari Kwas,Aibori Kot,Akte Elephantodontos,Akte Elephantostou,An Costa Eabhair,An Cósta Eabhair,Aod...8.0-5.5","..8.0-5.5",17
"46","CRETE","Crete  Creta,Crete,Crète,Kreeta,Kreta,Kriti,an Chreit,an Chréit,keuliti ju,<U+039A><U+03C1><U+03AE>t<U+03B7>,<U+D06C><U+B9AC><U+D2F0> <U+C8FC>35.155845702265424.89501953125","25",2
"47","CROATIA","Croatia  An Chroit,An Chróit,Chorvatsko,Chorvátsko,Chorwacja,Chorwatska,Cravuazie,Cro-a-ti-a,Cro-a-ti-a (Croa...45.166666715.5",".166666715.5",34
"48","CUBA","Cuba  Ciwba,Cu Ba,Cu-ba,Cuba,Cubba,Cúba,Isla Juana,Kiba,Kioba,Kiobà,Kiuba,Kiumba,Kiupa,Kouba,Kuba,Kuba nut...22.0-79.5","79.5",46
"49","CURACAO","Curaçao  CUR,Country of Curacao,Country of Curaçao,Curacao,Curazao,Curaçao,Kjurasao,Korsou,Kourasao,Kòrsou,Pa...12.166667-68.966667",".166667-68.966667",1
"50","CYPRUS","Cyprus  An Chipir,Chip,Chipre,Chipre - Kypros,Chipre - <U+039A><U+03CD>p<U+03C1><U+03BF><U+03C2>,Chipro,Chypre,Cipar,Ciper,Cipra,Cipri,Cipro,Ci...35.033.0","033.0",1
"51","DIEGO GARCIA","San Diego  Davis' Folly,Didacopolis,Gorad San-Dyega,Graytown,Lungsod ng San Diego,New San Diego,SAN,San Diegas,...32.71571-117.16472","32.71571-117.16472",1
"52","DJIBOUTI","Djibouti  Afars and Issas,Chibuti,Ciboti,Cibutaen,Cibuti,Cibutän,Cote Francaise des Somalis,Cîbûtî,Côte França...11.83333342.5","1.83333342.5",1
"53","DOMINICAN REPUBLIC","Dominican House of Studies  Dominican Home of Studies,Dominican House of Studies38.931427-76.9988062","",7
"54","ECUADOR","Ecuador  'Ekuetoa,E-cu-a-go,E-qu-a-go (Ecuador),Eacuador,Eacuadór,Ecuador,Ecwador,Ehkvador,Ekoatera,Ekouador,...-1.25-78.25",".25-78.25",9
"55","EGYPT","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",41
"56","EGYPT ","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",2
"57","EGYPT / ISRAEL","Egypt  'Isipite,AEgypten,Aegyptus,Agypten,Ai Cap,Ai C<U+1EAD>p,Aigyptos,Aikupito,Al Iqlim al Janubi,Al Iqlim al Mi...27.030.0","30.0",1
"58","EL SALVADOR","Earth  Aarde,Earth,Er shary,Erde,Foeld,Föld,Ge,Globe,Globo,Jorden,La terdi,Lurra,Maa,Monde,Mondo,Mundo,Mund...0.00.0",".0",4
"59","ENGLAND","England  'Ingilani,AEnglound,Anghiltera,Anghiltèra,Anglaterra,Anglatèrra,Anglete,Angleterre,Angletè,Angli,Ang...52.1604545577471-0.703125",".1604545577471-0.703125",23
"60","EQUATORIAL GUINEA / CAMEROON","Equatorial Guinea  'Ekueta Kini,AEkvatorial Guinea,AEkvatorialguinea,AEquatoriaal-Guinea,AEquatorialguinea,An Ghuine Mh...1.710.5","ne Mh...1.710.5",1
"61","FALKLAND ISLANDS","Falkland TroughFalkland Chasm,Malvinas Chasm,Malvinas Trough-53.0-54.0","",1
"62","FEDERATED STATES OF MICRONESIA","Russia  Conaidhm na Ruise,Cónaidhm na Rúise,Den russiske foderasjon,Den russiske føderasjon,Errusia,Federati...60.0100.0","0100.0",1
"63","Fiji","Fiji  Bidji,Feeje,Fichi,Fici,Ficiyuaens,Ficiyuäns,FidIi,Fidi,Fidji,Fidjieyjar,Fidj·i,Fidschi,Fidsi,Fidsí,F...-18.0178.0","178.0",3
"64","FIJI","Fiji  Bidji,Feeje,Fichi,Fici,Ficiyuaens,Ficiyuäns,FidIi,Fidi,Fidji,Fidjieyjar,Fidj·i,Fidschi,Fidsi,Fidsí,F...-18.0178.0","178.0",62
"65","FRANCE","France  An Fhrainc,An Fhraing,Bro-C'hall,Bufalansa,Falanise,Falanise,Falansia,Faláns<U+025B>,Farani,Faransa,Faransi...46.02.0","02.0",13
"66","FRENCH POLYNESIA","French Southern Territories  Anyiehe Franseme nutome,Criocha Deisceartacha na Fraince,Críocha Deisceartacha na Fraince,De franske...-43.067.0","ince,De franske...-43.067.0",26
"67","GABON","Gabon  An Ghabuin,An Ghabúin,El Gabon,Ga-bong,Ga-bong (Gabon),Ga-bông,Ga-bông (Gabon),Gaaboon,Gabao,Gabhoni...-1.011.75","11.75",1
"68","GEORGIA","Georgia  A Chairtbheil,An tSeoirsia,Cheorchia,Djiordjiya,Dzordzija,Gah-lu-gek-a,Geolgia,Georgaen,Georgia,Geor...41.99998143.499905",".99998143.499905",1
"69","GHANA","Ghana  Gaana,Gana,Gana - Ghana,Ganaa,Ganaea,Ganaen,Ganao,Gane,Ganäa,Ganän,Ganë,Gha-na,Gha-na (Ghana),Ghana,...8.1-1.2","1.2",1
"70","GRAND CAYMAN","Grand Gedeh County  Grand Gedeh,Grand Gedeh County,Grand Jide County5.966667-8.2","",1
"71","GREECE","Greece  A Ghreig,A Ghrèig,An Ghreig,An Ghréig,Bugereeki/Buyonaani,Ellada,Ellas,Elliniki Dhimokratia,Elliniki...39.022.0","022.0",24
"72","GREENLAND","Greenland  An Ghraonlainn,Bang GJao,Bang Ð<U+1EA3>o,Gorolande,Gorolânde,Gorwendland,Gowelande,Graenland,Greenland,Gree...72.0-40.0","72.0-40.0",1
"73","GRENADA","Grenada  Colony of Grenada,GND,Garnaad,Gelenad<U+025B>,Gerenada,Giranaadaa,Giriinaada,Girnada,Granada,Granada - Gren...12.1166667-61.6666667",".1166667-61.6666667",4
"74","GUAM","Guam  GJao Gu-am,GUM,Guahan,Guam,Guam - US Unincorporated Organized Territory,Guam nutome,Guama,Guamas,Guw...13.478611569488931144.81834411621094","8611569488931144.81834411621094",4
